Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C"
14:45:02,-2.37E-05,-5.41E-06,-1.09E-05,0.00043652,0.00041883,-0.00036376,26.16192054,-6.75E-06,-1.81E-05,1.95E-05,0.00041016,1.78E-05,0.00015582,26.59247589
14:45:03,-4.39E-05,-2.22E-05,4.71E-05,-0.00012318,-0.00037685,0.00054883,26.15913772,3.06E-05,-2.24E-05,1.72E-05,-0.00020152,0.00030471,0.0003975,26.58924865
14:45:04,2.38E-05,1.70E-05,-1.97E-05,-0.00035754,5.26E-05,0.00022605,26.16333198,-4.60E-05,-3.58E-05,1.29E-05,-0.00076291,0.00027528,-0.00013013,26.57369422
14:45:05,2.82E-05,7.40E-06,-4.80E-07,0.00135697,-0.00039493,0.00023386,26.16176986,6.13E-06,7.24E-06,2.26E-05,0.00047615,0.00019175,-3.04E-05,26.56394386
14:45:06,-3.76E-05,2.08E-06,5.28E-06,0.00063591,0.0001253,-0.00039241,26.15794372,4.53E-05,-3.05E-06,2.87E-05,-0.0010205,0.00022264,-0.00062707,26.57020568
14:45:07,-2.57E-05,4.74E-06,-1.72E-05,-0.00070183,-0.0005468,7.76E-05,26.15281486,-8.83E-06,-1.56E-06,1.79E-05,-0.00042455,0.00027528,1.22E-05,26.5764923
14:45:08,-2.34E-05,1.93E-05,-3.06E-05,-0.00055117,0.00038397,0.00032895,26.15557098,-7.30E-06,2.27E-05,4.17E-05,-0.00042742,0.00116667,0.00015381,26.58576774
14:45:09,-8.04E-06,4.92E-06,1.33E-05,-0.00205507,-0.00047199,0.00037054,26.14699363,3.65E-05,-1.75E-05,2.48E-05,-4.70E-05,-0.00015916,-6.62E-05,26.55570602
14:45:10,-3.50E-05,8.50E-06,-2.92E-05,-0.00099533,-0.00067644,0.00078929,26.1333332,8.28E-05,-1.13E-05,3.16E-05,0.00021858,-0.00079694,-0.00017452,26.54957389
14:45:11,5.72E-06,-6.36E-06,1.17E-05,-0.00034058,-0.00022407,0.00074165,26.1481285,1.19E-05,-1.30E-07,2.84E-05,0.00015311,-0.00037433,0.00030762,26.54574775
14:45:12,-9.45E-06,-1.24E-05,2.94E-05,-0.00012318,0.00049107,-0.000319,26.14147377,5.22E-06,-1.24E-05,1.70E-05,0.00010163,0.00010249,0.00030233,26.54678916
14:45:13,3.82E-06,-1.46E-05,1.43E-05,-0.00122422,0.00028414,5.40E-05,26.14009475,2.93E-05,-6.19E-06,4.70E-05,-0.00034737,0.00035255,-0.00044483,26.53425979
